Uniprot Accession #,Gene Name,"Species Id
(e.g. 9606 for human)"
P70605,KCNN3,10116
Q9Z0U4,GABBR1,10116
Q64568,ATP2B3,10116
P11506,ATP2B2,10116
Q63635,STX6,10116
P33173,KIF1A,10116
Q62245,SOS1,10116
P42346,MTOR,10116
Q920R4,GPRASP1,10116
O70228,ATP9A,10116
P97526,NF1,10116
P24382,Us2,10345
P97564,GPAM,10116
Q8BIV3,RANBP6,10116
Q5IRJ6,SLC30A9,10116
Q8CG09,ABCC1,10116
Q9EQG6,KIDINS220,10116
Q9ES21,SACM1L,10116
P70705,ATP7A,10116
A2AWA9,RABGAP1,10116
P21707,SYT1,10116
Q3UGY8,ARFGEF3,10116
A6H6A9,RABGAP1L,10116
P54290,CACNA2D1,10116
Q60634,FLOT2,10116
P60879,SNAP25,10116
Q85228,UL52,10345
P19511,ATP5F1,10116
P63044,VAMP2,10116
O54922,EXOC7,10116
P11505,ATP2B1,10116
P10719,ATP5B,10116
P31399,ATP5H,10116
Q6ZPR5,SMPD4,10116
Q9WUD2,TRPV2,10116
P59764,DOCK4,10116
Q64542,ATP2B4,10116
Q7TMY7,IPO8,10116
P11507,ATP2A2,10116
P15999,ATP5A1,10116
Q80TL7,MON2,10116
P25286,ATP6V0A1,10116
Q06647,ATP5O,10116
Q6UK10,Us9,10345
O55029,COPB2,10116
O08700,VPS45,10116
O88917,LPHN1,10116
Q6P2B1,TNPO3,10116
P07340,ATP1B1,10116
Q63803,GNAS,10116
P47861,SYT5,10116
Q9Z1E1,FLOT1,10116
P28480,TCP1,10116
O88280,SLIT3,10116
Q8VEM8,SLC25A3,10116
Q64310,SURF4,10116
P51863,ATP6V0D1,10116
P08354,gE,10345
P35952,LDLR,10116
Q63357,MYO1D,10116
Q4V8C2,ZW10,10116
Q6PDS3,SARM1,10116
P35435,ATP5C1,10116
Q63259,PTPRN,10116
Q99104,MYO5A,10116
Q9QYF3,MYO5A,10116
Q64232,TECR,10116
Q7TPH6,MYCBP2,10116
Q6P6R7,SGSM3,10116
P97629,LNPEP,10116
Q9QXK3,COPG2,10116
Q62991,SCFD1,10116
Q9CRT8,XPOT,10116
P06685,ATP1A1,10116
P07153,RPN1,10116
P10362,SCG2,10116
Q8BH59,SLC25A12,10116
Q80U95,UBE3C,10116
Q3TRM4,PNPLA6,10116
Q9WVK4,EHD1,10116
Q8BMK4,CKAP4,10116
Q8BVI5,STX16,10116
Q8R491,EHD3,10116
Q9ER24,ATXN10,10116
P70168,KPNB1,10116
P52020,SQLE,10116
Q5BK26,PNPLA7,10116
Q07647,SLC2A3,10116
Q3TZZ7,ESYT2,10116
O35314,CHGB,10116
O35547,ACSL4,10116
Q9EPK7,XPO7,10116
P98063,BMP1,10116
P59215,GNAO1,10116
Q8BKC5,IPO5,10116
Q9EPL8,IPO7,10116
Q99LG2,TNPO2,10116
O08599,STXBP1,10116
P70398,USP9X,10116
Q4G017,NISCH,10116
P04897,GNAI2,10116
Q9EQP2,EHD4,10116
Q63355,MYO1C,10116
P23514,COPB1,10116
Q8BFY9,TNPO1,10116
Q9ERK4,CSE1L,10116
Q61879,MYH10,10116
P46460,NSF,10116
P20156,VGF,10116
Q62940,NEDD4,10116
Q80X90,FLNB,10116
P16086,SPTAN1,10116
P47857,PFKM,10116
O88813,ACSL5,10116
Q9JKF1,IQGAP1,10116
Q80U96,XPO1,10116
Q4AEF8,COPG,10116
Q8CIE6,COPA,10116
P16617,PGK1,10116
Q62839,GOLGA2,10116
Q6NZL0,C6orf174,10116
P06024,gC,10345
Q7TMB8,CYFIP1,10116
P97536,CAND1,10116
Q6URW6,MYH14,10116
Q76MZ3,PPP2R1A,10116
P11442,CLTC,10116
Q91YE6,IPO9,10116
O35821,MYBBP1A,10116
Q5SGE0,LRPPRC,10116
Q63569,PSMC3,10116
O88600,HSPA4,10116
Q62703,RCN2,10116
Q8BP92,RCN2,10116
P38650,DYNC1H1,10116
Q9JHU4,DYNC1H1,10116
P14873,MAP1B,10116
P15205,MAP1B,10116
P50878,RPL4,10116
P62944,AP2B1,10116
P11497,ACACA,10116
P21533,RPL6,10116
Q91ZU6,DST,10116
Q9EPN1,NBEA,10116
P41123,RPL13,10116
O08629,TRIM28,10116
Q4FZT9,PSMD2,10116
P16638,ACLY,10116
P62196,PSMC5,10116
P05369,FDPS,10116
O88761,PSMD1,10116
P46462,VCP,10116
Q5SQX6,CYFIP2,10116
Q9EQH3,VPS35,10116
P04937,FN1,10116
Q9Z2Q1,SEC31A,10116
Q5U300,UBA1,10116
Q1JU68,EIF3A,10116
Q8K310,MATR3,10116
O35303,DNM1L,10116
P12001,RPL18,10116
P29315,RNH1,10116
P05426,RPL7,10116
P50398,GDI1,10116
Q11011,NPEPPS,10116
P12970,RPL7A,10116
P40329,RARS,10116
Q62717,CADPS,10116
P21575,DNM1,10116
Q61598,GDI2,10116
P97852,HSD17B4,10116
P46471,PSMC2,10116
Q07009,CAPN2,10116
Q62667,MVP,10116
